t,RD,RD_fake,RD_LCL,RD_LCL_fake,RD_UCL,RD_UCL_fake,,RR,RR_LCL,RR_UCL
28,-0.002727,-0.02727,-0.003827,-6.03E-03,-0.001627,5.73E-04,TRUE,0.415624,0.288615,0.598526
29,-0.003038,-0.03038,-0.004166,-6.42E-03,-0.00191,3.46E-04,TRUE,0.389663,0.271445,0.559367
30,-0.00309,-0.0309,-0.004223,-6.49E-03,-0.001957,3.09E-04,TRUE,0.385619,0.268761,0.553288
31,-0.003353,-0.03353,-0.004509,-6.82E-03,-0.002198,1.12E-04,TRUE,0.366455,0.256003,0.52456
32,-0.003459,-0.03459,-0.004633,-6.98E-03,-0.002285,6.30E-05,TRUE,0.365454,0.256432,0.520826
33,-0.003619,-0.03619,-0.004807,-7.18E-03,-0.002432,-5.80E-05,TRUE,0.35502,0.249424,0.50532
34,-0.003942,-0.03942,-0.005157,-7.59E-03,-0.002727,-2.97E-04,TRUE,0.335722,0.236419,0.476734
35,-0.00405,-0.0405,-0.005275,-7.73E-03,-0.002826,-3.78E-04,TRUE,0.329704,0.232352,0.467846
36,-0.004214,-0.04214,-0.005452,-7.93E-03,-0.002976,-5.00E-04,TRUE,0.321009,0.226463,0.455026
37,-0.004324,-0.04324,-0.005571,-8.07E-03,-0.003076,-5.80E-04,TRUE,0.315438,0.222684,0.446825
38,-0.004434,-0.04434,-0.00569,-8.20E-03,-0.003177,-6.63E-04,TRUE,0.310026,0.219008,0.438871
39,-0.004545,-0.04545,-0.00581,-8.34E-03,-0.003279,-7.47E-04,TRUE,0.304776,0.215437,0.431162
40,-0.0046,-0.046,-0.005871,-8.41E-03,-0.00333,-7.90E-04,TRUE,0.302205,0.213686,0.427391
41,-0.004936,-0.04936,-0.006234,-8.83E-03,-0.003638,-1.04E-03,TRUE,0.287572,0.203704,0.40597
42,-0.00516,-0.0516,-0.006477,-9.11E-03,-0.003844,-1.21E-03,TRUE,0.278535,0.197522,0.392774
43,-0.005499,-0.05499,-0.006843,-9.53E-03,-0.004156,-1.47E-03,TRUE,0.265935,0.188883,0.374419
44,-0.005613,-0.05613,-0.006965,-9.67E-03,-0.00426,-1.55E-03,TRUE,0.261968,0.186158,0.368651
45,-0.006012,-0.06012,-0.007396,-1.02E-02,-0.004628,-1.86E-03,TRUE,0.248915,0.177173,0.349706
46,-0.006069,-0.06069,-0.007466,-1.03E-02,-0.004671,-1.88E-03,TRUE,0.252441,0.180308,0.35343
47,-0.006241,-0.06241,-0.007652,-1.05E-02,-0.00483,-2.01E-03,TRUE,0.247194,0.176676,0.345857
48,-0.006357,-0.06357,-0.007776,-1.06E-02,-0.004937,-2.10E-03,TRUE,0.243799,0.174324,0.340964
49,-0.006415,-0.06415,-0.007839,-1.07E-02,-0.00499,-2.14E-03,TRUE,0.242128,0.173165,0.338556
50,-0.006822,-0.06822,-0.008278,-1.12E-02,-0.005367,-2.46E-03,TRUE,0.231002,0.165438,0.32255
51,-0.006881,-0.06881,-0.008341,-1.13E-02,-0.005422,-2.50E-03,TRUE,0.229474,0.164374,0.320355
52,-0.007181,-0.07181,-0.008664,-1.16E-02,-0.005698,-2.73E-03,TRUE,0.222027,0.159186,0.309676
53,-0.007242,-0.07242,-0.008739,-1.17E-02,-0.005745,-2.75E-03,TRUE,0.225628,0.162288,0.313688
54,-0.007427,-0.07427,-0.008939,-1.20E-02,-0.005916,-2.89E-03,TRUE,0.221247,0.15922,0.307439
55,-0.007741,-0.07741,-0.009277,-1.23E-02,-0.006205,-3.13E-03,TRUE,0.214203,0.154277,0.297407
56,-0.007932,-0.07932,-0.009483,-1.26E-02,-0.006381,-3.28E-03,TRUE,0.210124,0.15141,0.291605
57,-0.008191,-0.08191,-0.009762,-1.29E-02,-0.00662,-3.48E-03,TRUE,0.204841,0.147693,0.284102
58,-0.008322,-0.08322,-0.009903,-1.31E-02,-0.006741,-3.58E-03,TRUE,0.202266,0.145879,0.280449
59,-0.008521,-0.08521,-0.010118,-1.33E-02,-0.006924,-3.73E-03,TRUE,0.198475,0.143206,0.275076
60,-0.008723,-0.08723,-0.010337,-1.36E-02,-0.00711,-3.88E-03,TRUE,0.194774,0.140593,0.269834
61,-0.00886,-0.0886,-0.010495,-1.38E-02,-0.007225,-3.96E-03,TRUE,0.197305,0.142839,0.272539
62,-0.008999,-0.08999,-0.010667,-1.40E-02,-0.007332,-4.00E-03,TRUE,0.204638,0.148951,0.281144
63,-0.009069,-0.09069,-0.010742,-1.41E-02,-0.007396,-4.05E-03,TRUE,0.203377,0.148052,0.279376
64,-0.009354,-0.09354,-0.01105,-1.44E-02,-0.007658,-4.27E-03,TRUE,0.198411,0.144508,0.272419
65,-0.009646,-0.09646,-0.011377,-1.48E-02,-0.007915,-4.45E-03,TRUE,0.198418,0.144925,0.271656
66,-0.009868,-0.09868,-0.011617,-1.51E-02,-0.00812,-4.62E-03,TRUE,0.194813,0.14234,0.26663
67,-0.009944,-0.09944,-0.011699,-1.52E-02,-0.008189,-4.68E-03,TRUE,0.193618,0.141483,0.264964
68,-0.010331,-0.10331,-0.012118,-1.57E-02,-0.008544,-4.97E-03,TRUE,0.187729,0.137252,0.256769
69,-0.010646,-0.10646,-0.012459,-1.61E-02,-0.008834,-5.21E-03,TRUE,0.183183,0.133983,0.25045
70,-0.010727,-0.10727,-0.012547,-1.62E-02,-0.008907,-5.27E-03,TRUE,0.182059,0.133174,0.248889
71,-0.010891,-0.10891,-0.012725,-1.64E-02,-0.009058,-5.39E-03,TRUE,0.179803,0.131549,0.245758
72,-0.011146,-0.11146,-0.013002,-1.67E-02,-0.009291,-5.58E-03,TRUE,0.176416,0.129106,0.241064
73,-0.011146,-0.11146,-0.013002,-1.67E-02,-0.009291,-5.58E-03,TRUE,0.176416,0.129106,0.241064
74,-0.011508,-0.11508,-0.013397,-1.72E-02,-0.009619,-5.84E-03,TRUE,0.171826,0.125786,0.234718
75,-0.011882,-0.11882,-0.013805,-1.77E-02,-0.009958,-6.11E-03,TRUE,0.167328,0.12253,0.228506
76,-0.011882,-0.11882,-0.013805,-1.77E-02,-0.009958,-6.11E-03,TRUE,0.167328,0.12253,0.228506
77,-0.011982,-0.11982,-0.013915,-1.78E-02,-0.010049,-6.18E-03,TRUE,0.166159,0.12168,0.226895
78,-0.01219,-0.1219,-0.014144,-1.81E-02,-0.010236,-6.33E-03,TRUE,0.163786,0.119956,0.223632
79,-0.012299,-0.12299,-0.014265,-1.82E-02,-0.010334,-6.40E-03,TRUE,0.162567,0.119068,0.221959
80,-0.012414,-0.12414,-0.014393,-1.84E-02,-0.010436,-6.48E-03,TRUE,0.161304,0.118145,0.220229
81,-0.012415,-0.12415,-0.014421,-1.84E-02,-0.010408,-6.39E-03,TRUE,0.168101,0.122874,0.229976
82,-0.012543,-0.12543,-0.014565,-1.86E-02,-0.010521,-6.48E-03,TRUE,0.166665,0.121822,0.228014
83,-0.01268,-0.1268,-0.01472,-1.88E-02,-0.010641,-6.56E-03,TRUE,0.165161,0.120719,0.225966
84,-0.012827,-0.12827,-0.014886,-1.90E-02,-0.010768,-6.65E-03,TRUE,0.163584,0.119557,0.223825
85,-0.012983,-0.12983,-0.015065,-1.92E-02,-0.010902,-6.74E-03,TRUE,0.161932,0.118337,0.221589
86,-0.013487,-0.13487,-0.015644,-2.00E-02,-0.011329,-7.01E-03,TRUE,0.156836,0.114563,0.214706
87,-0.013487,-0.13487,-0.015644,-2.00E-02,-0.011329,-7.01E-03,TRUE,0.156836,0.114563,0.214706
88,-0.013878,-0.13878,-0.016102,-2.06E-02,-0.011655,-7.21E-03,TRUE,0.153086,0.111767,0.20968
89,-0.014308,-0.14308,-0.016609,-2.12E-02,-0.012007,-7.41E-03,TRUE,0.149177,0.108843,0.204458
90,-0.014308,-0.14308,-0.016609,-2.12E-02,-0.012007,-7.41E-03,TRUE,0.149177,0.108843,0.204458
91,-0.014838,-0.14838,-0.017252,-2.21E-02,-0.012423,-7.59E-03,TRUE,0.14462,0.105391,0.198451
92,-0.015731,-0.15731,-0.018346,-2.36E-02,-0.013116,-7.89E-03,TRUE,0.137539,0.100018,0.189136
93,-0.015731,-0.15731,-0.018346,-2.36E-02,-0.013116,-7.89E-03,TRUE,0.137539,0.100018,0.189136
94,-0.015731,-0.15731,-0.018346,-2.36E-02,-0.013116,-7.89E-03,TRUE,0.137539,0.100018,0.189136
95,-0.016125,-0.16125,-0.018851,-2.43E-02,-0.013399,-7.95E-03,TRUE,0.134629,0.097762,0.185398
96,-0.016125,-0.16125,-0.018851,-2.43E-02,-0.013399,-7.95E-03,TRUE,0.134629,0.097762,0.185398
97,-0.016627,-0.16627,-0.019524,-2.53E-02,-0.01373,-7.94E-03,TRUE,0.131099,0.094964,0.180984
98,-0.017221,-0.17221,-0.020716,-2.77E-02,-0.013726,-6.74E-03,TRUE,0.151632,0.095738,0.240159
99,-0.017221,-0.17221,-0.020716,-2.77E-02,-0.013726,-6.74E-03,TRUE,0.151632,0.095738,0.240159
100,-0.017221,-0.17221,-0.020716,-2.77E-02,-0.013726,-6.74E-03,TRUE,0.151632,0.095738,0.240159
101,-0.017221,-0.17221,-0.020716,-2.77E-02,-0.013726,-6.74E-03,TRUE,0.151632,0.095738,0.240159
102,-0.017221,-0.17221,-0.020716,-2.77E-02,-0.013726,-6.74E-03,TRUE,0.151632,0.095738,0.240159
103,-0.017221,-0.17221,-0.020716,-2.77E-02,-0.013726,-6.74E-03,TRUE,0.151632,0.095738,0.240159
104,-0.017221,-0.17221,-0.020716,-2.77E-02,-0.013726,-6.74E-03,TRUE,0.151632,0.095738,0.240159
105,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
106,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
107,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
108,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
109,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
110,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
111,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
112,-0.018999,-0.18999,-0.023928,-3.38E-02,-0.01407,-4.21E-03,TRUE,0.13942,0.086098,0.225766
